addr,category,context,id1,name,rank,x,y
충청북도 청주시 서원구 2순환로 1461-1,"한식,보리밥","보리밥,청국장,고추장,친절함,싱싱한",37835897,대산보리밥,10,36.6094152,127.4444925
충청북도 진천군 진천읍 중앙서로 21-3,"한식,족발,보쌈","왕족발,보쌈,매운족발,홍어,튀김",17757302,청주왕족발,19,36.8578043,127.4422515
충청북도 충주시 연수서편2길 11 상가동 117호 ,"일식,돈가스",,1875506164,카츠집,5,36.9899468,127.9303531
충청북도 충주시 충주호수로 634,"한식,육류,고기요리","바베큐장,삼겹살",926286149,무드인소울,6,37.0095467,127.9838677
충청북도 충주시 호암수청1로 30 행복주택상가 101호,"음식점,태국음식","똠양꿍,쌀국수,팟타이,싱싱한,태국음식",758776186,아로이아로이,7,36.9555394,127.9260637
충청남도 계룡시 엄사면 양정향한길 223,"카페,디저트,카페","카페,스콘,파니니,멋스러운,드라이브",282708239,아르볼그란데366,5,36.2817533,127.2222826
충청남도 계룡시 새터산길 12,"한식,두부요리","콩국수,보쌈,순두부찌개,아기자기,등산",13196507,콩밭가인,6,36.2763980,127.2514675
충청남도 계룡시 금암로 142,"한식,감자탕","감자탕,아이스크림,수제비",11875682,맛나감자탕 계룡본점,7,36.2748026,127.2566332
충청북도 증평군 증평읍 송산로1길 7 좌측1호,"일식,돈가스","돈가스,치즈돈까스,치즈롤,재방문,냉모밀",932739597,컨츄리수제돈까스,14,36.7895406,127.5770997
,"음식점,카페,디저트",,1083290888,카페율리,15,36.7168519,127.6374254
충청북도 청주시 상당구 문의면 대청호반로 834-1,"한식,육류,고기요리","고추장삼겹살,농장,더덕구이,깨끗한,드라이브",12009983,부부농장,11,36.5165499,127.5004361
충청북도 진천군 진천읍 중앙북1길 3 지도,"한식,칼국수,만두","쌀국수,비빔국수,만두,주스,치킨",37682101,역용쌀국수,20,36.8599850,127.4388022
충청북도 충주시 갱고개로 158,"음식점,피자","피자,스테이크,치킨,파스타",11783774,도미노피자 충주점,8,36.9849851,127.9397384
충청북도 충주시 살미면 월악로 927,"음식점,카페,디저트",,1668594847,게으른악어,9,36.9239543,128.0481202
충청북도 충주시 충원대로 55,"음식점,카페,디저트",,1969130145,커피단월,10,36.9424753,127.9121255
충청북도 충주시 노은면 솔고개로 737,"음식점,카페,디저트",,1873788087,비채커피,11,37.0310262,127.7742390
충청남도 계룡시 서금암로 10 116호,"도시락,컵밥,다이어트,샐러드",,1538121267,JB샐러드바,8,36.2727473,127.2514889
충청남도 계룡시 금암로 140 1층,"한식,찌개,전골",,1715293347,더하고부대찌개,9,36.2749459,127.2563888
충청남도 계룡시 엄사면 계룡대로 486,"중식,중식당","군만두,짬뽕,탕수육,짜장면",38486614,화평,10,36.2868546,127.2464345
충청남도 계룡시 엄사면 번영8길 8-2 1층,"카페,디저트,카페",,1287446462,카페 사르메,11,36.2874603,127.2346825
충청남도 계룡시 장안로 59-3 109호,"분식,만두",,1926236556,수경손만두,12,36.2724017,127.2505653
충청남도 공주시 반포면 큰칡골길 14-13 노가드네,"한식,육류,고기요리",,1173732232,노가드네,1,36.4130388,127.2165879
충청남도 공주시 반포면 정광터1길 137,"한식,게요리","갈치조림,간장게장,갈치구이,고급스런,드라이브",17460389,싸리골,2,36.4014662,127.2283983
충청남도 공주시 한적2길 41-9,"중식,중식당","탕수육,김피탕,피자,드라이브,야식",31992305,피탕김탕,3,36.4780118,127.1392036
충청남도 공주시 정자방1길 31 1층,"음식점,카페,디저트",,1274877234,카페금성동,4,36.4667707,127.1188277
충청북도 증평군 증평읍 송산로 62,"음식점,한식",,37991787,정미희사과게장,16,36.7900944,127.5774638
충청북도 증평군 증평읍 역전로 39 1층 오브민,"음식점,카페,디저트",,1610016411,오브민,17,36.7827865,127.5802403
충청남도 금산군 진산면 태고사로 444,"한식,한정식","청국장,계곡,손두부,편안한,등산",13472979,황토집사람들,1,36.1603307,127.3383630
충청북도 청주시 상당구 무심동로372번길 44,"음식점,한식","청국장,삼겹살,김치찌개,친절하신,재방문",36618522,청심재,12,36.6336436,127.4860572
충청북도 청주시 상당구 중앙로 7 1층,"음식점,카페,디저트","딸기빙수,메론빙수,멜론빙수,아기자기,싱싱한",32762357,튜마몽,13,36.6378592,127.4887619
충청북도 청주시 상당구 상당로115번길 26 3층,"음식점,양식",,1622963812,머물던자리,14,36.6386263,127.4886231
충청북도 청주시 서원구 1순환로 1142 2층,"한식,육류,고기요리",,1022953458,꾸본난로회,15,36.6058279,127.4933086
충청북도 충주시 살미면 팔봉향산길 374,"한식,생선회","매운탕,송어회,고추장,싱싱한,튀김",13484647,들림횟집,12,36.9233484,127.9229196
충청북도 충주시 상방12길 11,"음식점,한식",,32196976,수영식당,13,36.9721832,127.9157902
충청남도 계룡시 엄사면 향한매봉1길 10,"음식점,카페,디저트",,1233703897,카페 운전,13,36.2854178,127.2200770
충청남도 계룡시 엄사면 번영11길 25,"음식점,브런치",,1822165754,오후의산책,14,36.2885430,127.2304384
충청남도 계룡시 엄사면 번영로 94,"한식,생선회",,38724255,계룡 참치전문점,15,36.2873506,127.2353574
충청남도 계룡시 천마로 87-10,"한식,보리밥",,1598865710,장독대와보리밥,16,36.2751848,127.2425991
충청남도 계룡시 장안2길 42,"일식,일식당",,1599862942,미다미,17,36.2723059,127.2477830
충청남도 계룡시 엄사면 계룡대로 452,"카페,디저트,카페",,1271582380,파스쿠찌 계룡DT점,18,36.2842358,127.2483308
충청남도 공주시 제민2길 3-2,"음식점,카페,디저트",,1633545180,망중한 커피앤티,5,36.4517027,127.1211998
충청남도 공주시 봉황산1길 1-2,"한식,한정식","생선구이,갈치조림,제육볶음,아담한,나들이",37437827,곰골식당,6,36.4517520,127.1205630
충청남도 공주시 사곡면 아래안영골길 4,"한식,매운탕,해물탕",,1902551996,솥뚜껑 매운탕,7,36.4793638,127.0475398
충청남도 공주시 백미고을길 5-13,"카페,디저트,베이커리",,1240297297,베이커리 밤마을,8,36.4645726,127.1229096
충청남도 공주시 제민천3길 58,"음식점,한식","두부요리,두부전골,돈가스,아담한,나들이",17418129,맛깔,9,36.4535718,127.1233856
,"한식,찌개,전골",,1105835945,토방촌,18,36.7808529,127.5746860
충청남도 금산군 추부면 하마전로 53,"중식,중식당",,1939951706,여래향,2,36.1912617,127.4723240
충청남도 금산군 추부면 하마전로 66 평양순대감자탕,"중식,중식당","매운짬뽕,탕수육,짜장면,친절한,드라이브",17528062,명성각,3,36.1915068,127.4736420
충청남도 금산군 금산읍 금산로 1477 캐슬1477,"카페,디저트,카페",,1047284460,캐슬1477,4,36.1057140,127.4888542
충청남도 금산군 진산면 태고사로 436,"한식,한정식","한정식,청국장,닭볶음탕,나들이,모듬전",36159007,토담,5,36.1606890,127.3388254
충청남도 금산군 복수면 수목로 280,"음식점,양식",,1696909643,리누갤러리제이컬쳐앤비즈,6,36.1805071,127.4113280
충청북도 청주시 서원구 2순환로1432번길 30 그로우빈커피,"카페,디저트,카페",,1566927507,그로우빈커피,16,36.6110199,127.4398309
충청북도 청주시 청원구 율량로 200 2층 이화연가,"한식,육류,고기요리",,1215965659,이화연가,17,36.6647250,127.4984244
충청북도 청주시 청원구 율량로189번길 7 1층,"분식,종합분식",,1192902215,떡보라,18,36.6657951,127.4993347
충청북도 청주시 상당구 문의면 대청호반로 786-25,"음식점,카페,디저트",,1019741144,더 대청호,19,36.5114177,127.4992840
충청북도 청주시 상당구 산성로 643,"카페,디저트,카페",,1089221671,지오카페,20,36.6538250,127.5465087
충청북도 충주시 소태면 덕은로 596,"카페,디저트,카페",,1112926821,서유숙카페,14,37.1020513,127.8267518
충청북도 충주시 연수동산로1길 2 1층,"카페,디저트,베이커리","롤케이크,식빵,tv방영,베이글,타르트",38305414,듀레베이커리,15,36.9864433,127.9394807
충청북도 충주시 중앙탑면 중앙탑길 103,"한식,막국수","막국수,메밀치킨,메밀국수,깨끗한,나들이",11817590,중앙탑메밀마당,16,37.0175766,127.8643105
충청북도 충주시 목벌안길 26,"음식점,카페,디저트",,1410342355,활옥동굴카페,17,36.9614996,128.0073309
충청북도 충주시 성서4길 11,"음식점,카페,디저트",,1052614254,스네일 인 올드타운,18,36.9718969,127.9311002
충청남도 계룡시 엄사면 번영2길 21-14,"음식점,한식",,38693691,큰솔밭,19,36.2909330,127.2389500
충청남도 계룡시 엄사면 번영로 57,"중식,중식당",,1228953334,도원뚝배기짬뽕,20,36.2886904,127.2389620
충청남도 공주시 의당면 의당로 309 목향커피 1층,"음식점,카페,디저트",,1109252525,목향커피,10,36.4980284,127.1392948
충청남도 공주시 웅진로 145-8,"카페,디저트,차","한옥카페,갤러리카페,수제초콜릿,아담한,사진찍기",33445258,루치아의 뜰,11,36.4537156,127.1237698
충청남도 공주시 반포면 불장골길 113-12 엔학고레,"음식점,한식",,1201673671,엔학고레,12,36.3980722,127.2657626
충청북도 증평군 증평읍 송산로 64,"한식,족발,보쌈","족발,주먹밥",35286191,토시래 충북증평점,19,36.7901537,127.5776497
충청북도 증평군 증평읍 역전로 66,"한식,찌개,전골",,33819606,두남자와어머니청국장,20,36.7806499,127.5818889
충청남도 금산군 금성면 용천로 340,"음식점,카페,디저트",,1837810735,더버킷유니온,7,36.1377526,127.4612991
충청남도 금산군 금산읍 금산로 1390,"한식,주꾸미요리",,1799020096,금산불쭈꾸미,8,36.0977739,127.4872371
충청남도 금산군 금성면 적우실길 28 너구리의피난처,"음식점,한식","수제비,해물파전,해물칼국수,아늑한,드라이브",36860636,너구리의피난처,9,36.1426512,127.4860382
충청남도 논산시 해월로 132,"분식,종합분식","돈가스,새우튀김,메밀국수,소박하지만,신선한",32372736,반월소바,1,36.2029567,127.0823923
충청남도 논산시 가야곡면 산노1길 79-12,"음식점,이탈리아음식",,1020999865,알바노,2,36.1697168,127.1786797
충청남도 당진시 먹거리길 9-3 태봉면옥,"한식,갈비탕","한우,갈비탕,냉면,평화로운,신선한",33373888,태봉면옥,1,36.8861765,126.6304252
충청남도 당진시 신평면 삽교천3길 60 1층,"중식,중식당","짬뽕,탕수육,짜장면,나들이,쟁반짜장",38320614,서유기짬뽕,2,36.8914795,126.8223706
충청남도 당진시 신평면 샛터로 7-1,"음식점,한식","우렁쌈밥,청국장,공원,친절하고,드라이브",11707257,우렁이박사,3,36.8799734,126.8027648
충청북도 충주시 연수동산로1길 9 1층 고소미부엌,"음식점,한식",,1335940691,고소미부엌,19,36.9866322,127.9404597
충청북도 충주시 소태면 소태로 393,"카페,디저트,카페",,1142081895,로라의정원,20,37.1006116,127.8562536
충청남도 공주시 반포면 계룡대로 1392,"음식점,양식","이탈리안레스토랑,크림파스타,피자,고급진,데이트",1271834423,라루체,13,36.3597169,127.2525510
충청남도 금산군 진산면 태고사로 441,"한식,한정식",,17525389,산마루가든,10,36.1600057,127.3387130
충청남도 금산군 금산읍 인삼약초로 33,"한식,백숙,삼계탕",,1560071314,원조삼계탕 본점,11,36.1009590,127.4969132
충청남도 금산군 금산읍 비단로 172 맛깔,"한식,아귀찜,해물찜",,13526642,맛깔복집,12,36.1028661,127.4962533
충청남도 논산시 강경읍 계백로147번길 7,"한식,칼국수,만두","해물칼국수,바지락,젓갈,나들이,콩국수",17344234,강경해물칼국수,3,36.1574689,127.0154449
충청남도 논산시 강산길 90,"음식점,카페,디저트",,1646571003,코이비꼬,4,36.1911913,127.0801317
