addr,category,context,id1,name,rank,x,y
전라남도 화순군 화순읍 세량리 98,"여행,명소,호수,연못,저수지","저수지,계곡,호수,몽환적인,사진찍기",17421128,세량제,1,35.0787663,126.9200751
전라남도 화순군 화순읍 삼천리 621,"여행,명소,체험마을","벽화마을,재래시장,동물농장,나들이,돌탑",32481280,성안마을,14,35.0593601,126.9836639
전라남도 화순군 화순읍 삼천리,"여행,명소,도시,테마공원","가을축제,공원,꽃구경,화려한,단풍구경",19713188,남산공원,11,35.058954,126.9847283
전라남도 화순군 화순읍 동구리 123,"여행,명소,자연공원",,1148447766,동구리호수공원,12,35.0785401,126.9858956
전라남도 화순군 한천면 오음리 산1-1,"자연명소,휴양림,산림욕장","휴양림,캠핑,계곡,편안한,힐링",12336696,한천자연휴양림,8,34.9881115,127.0471121
전라남도 화순군 한천면 동가리 382-3,"여행,명소,계곡",,1563499574,동가리계곡,18,34.9641732,127.0651014
전라남도 화순군 이서면 월산리,"여행,명소,문화,유적","단풍구경,섬,경치,웅장한,전망대",19816234,화순적벽,9,35.103951,127.0877142
전라남도 화순군 이서면 안심리 산168,"자연명소,휴양림,산림욕장","휴양림,등산,편백나무숲,국립공원,산림욕장",11491035,무등산편백자연휴양림,5,35.0935852,127.030572
전라남도 화순군 백아면 용곡리,"여행,명소,산,고개","등산,철쭉,휴양림,편안한,동굴",13491951,백아산,13,35.1717775,127.161138
전라남도 화순군 백아면 옥리 589,"숙박,콘도,리조트","노천온천,치킨,워터파크,아담한,휴식",11583188,금호화순리조트,3,35.1637998,127.0843609
전라남도 화순군 백아면 옥리 510-1,"스포츠,오락,수영장","실내워터파크,노천온천,야외수영장,휴식,파도풀",12910851,화순 아쿠아나,10,35.1625535,127.083885
전라남도 화순군 백아면 서유리 산150-1,"여행,명소,자연,생태공원","온천,공원,박물관,유적지,워터파크",20030716,서유리공룡발자국화석산지,17,35.170075,127.0902389
전라남도 화순군 백아면 노치리 산63,"자연명소,휴양림,산림욕장","휴양림,단풍,산행,데이트",11491076,백아산 자연휴양림,20,35.152571,127.168315
전라남도 화순군 동복면 연둔리,"여행,명소,기념물",,17428893,화순동복연둔리숲정이,6,35.043855,127.122375
전라남도 화순군 도곡면 효산리 64,"여행,명소,유적지,사적지","유적지,공원,계곡,쾌적한,드라이브",32372577,화순고인돌유적,16,34.9855691,126.918506
전라남도 화순군 도곡면 천암리 788,"여행,명소,온천,스파","온천,워터슬라이드,수영장,분수",11483638,도곡스파랜드,15,35.0291237,126.902796
전라남도 화순군 도곡면 대곡리 1004-1,"여행,명소,테마파크","테마파크,사진찍기",590873191,테마파크소풍,7,34.9953695,126.9270166
전라남도 화순군 능주면 관영리,"여행,명소,문화재","철길,경치,일몰,몽환적인,야경",20099013,영벽정,19,34.9928041,126.965137
전라남도 해남군 황산면 우항리 191,"여행,명소,박물관","박물관,간장게장,유적지,재미있는,나들이",13291339,해남공룡박물관,8,34.5899213,126.4372678
전라남도 해남군 화원면 주광리 384,"여행,명소,레저,테마","캠핑,해변,글램핑,쾌적한,경치",12900134,오시아노관광단지,17,34.667099,126.260055
전라남도 해남군 화원면 매월리 696-1,"여행,명소,등대","드라이브,전망대,일몰,재미있는,섬",20059493,목포구등대,4,34.7622112,126.297376
전라남도 해남군 현산면 황산리 산1-33,"여행,명소,식물원,수목원",,1741021055,포레스트수목원,3,34.4539398,126.5968816
전라남도 해남군 해남읍 연동리 82,"여행,명소,유적지,사적지","유적지,유물,박물관,일몰,시장",20099367,고산윤선도유적지,15,34.5516289,126.6224118
전라남도 해남군 송지면 통호리,"여행,명소,해수욕장,해변","해변,캠핑,섬,갯벌체험",13491894,사구미해변,19,34.3204485,126.5806695
전라남도 해남군 송지면 송호리 산45,"여행,명소,전망대","전망대,모노레일,일몰,깨끗한,드라이브",17080194,땅끝전망대,6,34.294535,126.525104
전라남도 해남군 송지면 송호리 산45,모노레일,"모노레일,전망대,케이블카,편안한,경치",16819978,땅끝모노레일,7,34.296699,126.527603
전라남도 해남군 송지면 송호리 1123-3,"여행,명소,박물관","박물관,공룡알,과학관,분수,전망대",11620554,땅끝해양자연사박물관,12,34.3012908,126.5296515
전라남도 해남군 송지면 송호리,"여행,명소,체험마을","모노레일,전망대,유람선,고즈넉한,등산",13491836,땅끝마을,1,34.2985206,126.5274381
전라남도 해남군 송지면 송호리,"여행,명소,해수욕장,해변","해변,일몰,오토캠핑,이국적,갯벌체험",13490874,땅끝송호해수욕장,5,34.3145491,126.5188901
전라남도 해남군 송지면 서정리,"여행,명소,산,고개","등산,산행,단풍,신비스러운,섬",11491340,달마산,11,34.3825791,126.5851628
전라남도 해남군 삼산면 평활리,"여행,명소,도립공원","케이블카,등산,계곡,국립공원,단풍구경",13491398,두륜산도립공원,13,34.482101,126.612789
전라남도 해남군 삼산면 구림리 799,"여행,명소,세계문화유산","계곡,단풍구경,케이블카,고즈넉한,템플스테이",12379390,대흥사,2,34.4763336,126.6161257
전라남도 해남군 삼산면 구림리 138-6,"레저,테마,케이블카","케이블카,전망대,등산,화려한,단풍구경",12889864,두륜산 케이블카,9,34.4967494,126.6252851
전라남도 해남군 삼산면 구림리,"여행,명소,테마공원",,36733646,두륜미로파크,16,34.4984383,126.6214315
전라남도 해남군 북평면 동해리 848-1,"여행,명소,체험마을","수영장,물놀이장,계곡,닭백숙",11725375,해남김치마을,20,34.4364075,126.6359393
전라남도 해남군 북일면 흥촌리,"여행,명소,근린공원",,17083395,오소재쉼터,18,34.4822851,126.6507206
전라남도 해남군 문내면 학동리 산37,"여행,명소,관람,체험","국립공원,유람선,야경,웅장한,촬영지",19748175,우수영국민관광지,10,34.572559,126.3094879
전라남도 해남군 계곡면 가학리 산1,"자연명소,휴양림,산림욕장","휴양림,철쭉,계곡,산행,캠핑",13188267,흑석산자연휴양림,14,34.6727224,126.6174639
전라남도 함평군 해보면 산내리 376,"문화,예술,갤러리,화랑","미술관,아담한,플리마켓,다방,공방",12797711,잠월미술관,11,35.1724971,126.5528491
전라남도 함평군 해보면 금덕리 575-3,"여행,명소,관광농원,팜스테이",,11602603,사슴이랑배랑농원,10,35.1866373,126.5894118
전라남도 함평군 해보면 광암리,"여행,명소,자연,생태공원","꽃무릇,드라이브,생태공원,화려한,산책로",20027814,꽃무릇공원,7,35.1818268,126.5433635
전라남도 함평군 함평읍 수호리 1153-1,"여행,명소,자연,생태공원","생태공원,수변공원,가을축제,화려한,물놀이장",13355421,함평엑스포공원,2,35.0547275,126.5222451
전라남도 함평군 함평읍 석성리 523,"여행,명소,해수욕장,해변","해변,일몰,갯벌체험,깨끗한,캠핑",11719812,돌머리해수욕장,1,35.0868904,126.441225
전라남도 함평군 함평읍 석성리 311-12,"여행,명소,지역명소",,1743559932,억새밸리존,6,35.0929871,126.4631977
전라남도 함평군 함평읍 석성리,"여행,명소,체험마을",,34348913,주포지구한옥전원마을,4,35.0935884,126.461599
전라남도 함평군 함평읍 석성리,"여행,명소,자연,생태공원",,1382292717,함평군억새정원,17,35.0929979,126.4631324
전라남도 함평군 함평읍 내교리,"여행,명소,근린공원",,20441875,함평세계나비곤충엑스포공원,12,35.05852,126.522373
전라남도 함평군 함평읍 기각리 980-2,"여행,명소,먹자거리",,472874990,함평천지한우비빔밥거리,15,35.0643831,126.523011
전라남도 함평군 함평읍 기각리,"여행,명소,근린공원",,17136657,함평공원,19,35.065843,126.5203493
전라남도 함평군 학교면 고막리,"여행,명소,문화재",,17140225,함평고막천석교,18,35.0332417,126.5927125
전라남도 함평군 월야면 용월리 355-4,"여행,명소,근린공원",,1920719352,달맞이공원,8,35.16545,126.6271376
